Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
59,08:15:32.937,Pigeon,pistol,0.502s,2,1,0.5,50,250,0.2,false
60,08:15:34.092,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
61,08:15:35.704,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
62,08:15:36.304,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
63,08:15:37.232,Pigeon,pistol,0s,1,1,1,50,125,0.4,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,74,63,3150.0,9250.0,

Kills:,63
Deaths:,0
Fight Time:,9.76
Avg TTK:,1.12
Damage Done:,3150.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,53.635136
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.1.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Fortnite Percent
Horiz Sens:,5.0
Vert Sens:,5.0
FOV:,80.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
